Rarity Rank,Name,Type,Mech Pattern,Organic Pattern,Primary Color,Secondary Color,Full Head Accessory,Head Top Accessory,Eye Accessory,Piercing,Glow Color,Eye Color
1,Wolf #706,Mech,Gold,None,None,None,Crown,None,None,None,Neon Green,Blood Red
2,Wolf #1162,Mech,Silver,None,None,None,Cubone Mask,None,None,None,Neon Orange,Ocean Blue
3,Wolf #356,Mech,Silver,None,None,None,WcDonald’s Hat,None,None,None,Neon Orange,Slime Green
4,Wolf #921,Mech,Rose Gold,None,None,None,None,None,Shutter Shades,None,Neon Green,Bubblegum Pink
5,Wolf #672,Mech,Chrome,None,Sunrise Orange,None,None,Unicorn Horn,Lasers Red,Gold Right,Neon Violet,Blood Red
6,Wolf #1328,Mech,Lava,None,Lemon Yellow,None,None,None,Steampunk Goggles,Silver Left,Neon Yellow,Slime Green
7,Wolf #1569,Mech,Silver,None,None,None,None,None,None,None,Neon Blue,Ocean Blue
8,Wolf #1910,Hybrid,Color Burst,Thunder,Burgundy,White,None,Third Eye,Deal with it Shades,Gold Right and Nose,Neon Blue,Slime Green
9,Wolf #2976,Mech,Imperfecto,None,Burgundy,Royal Purple,None,Third Eye,Lasers Blue,Gold Right and Nose,Neon Violet,Sunrise Orange
10,Wolf #2983,Mech,Mineral,None,Royal Purple,None,None,Unicorn Horn,Deal with it Shades,Silver Right,Neon Orange,Ocean Blue
11,Wolf #3250,Mech,Chrome,None,White,None,None,ETH Orb,Deal with it Shades,Gold Nose,Neon Violet,Ocean Blue
12,Wolf #1721,Mech,Lava,None,Slime Green,None,None,Third Eye,None,Gold Right and Nose,Neon Green,Royal Purple
13,Wolf #1599,Mech,Chrome,None,Sunrise Orange,None,None,ETH Orb,Sci-Fi Visor,Gold Right,Neon Orange,Electric Blue
14,Wolf #1421,Mech,Mineral,None,Coffee Brown,None,Eye of the Observer,None,None,Silver Left,Neon Pink,Chaos
15,Wolf #252,Mech,Lava,None,Slime Green,None,None,None,Shutter Shades,Gold Nose,Neon Red,Royal Purple
16,Wolf #1514,Mech,Mineral,None,Ocean Blue,None,None,ETH Orb,Ski Goggles,None,Neon Pink,Royal Purple
17,Wolf #1,Hybrid,Lava,Flames,Ocean Blue,Electric Blue,None,ETH Orb,Deal with it Shades,None,Neon Mint,Sunrise Orange
18,Wolf #958,Hybrid,Rose Gold,Polkadots,Burgundy,Ocean Blue,None,None,Deal with it Shades,Gold Right and Nose,Neon Blue,Lemon Yellow
19,Wolf #2626,Mech,Lava,None,Royal Purple,None,None,None,Flight Goggles,Silver Nose,Neon Green,Bubblegum Pink
20,Wolf #1778,Hybrid,Lava,Hearts,Sunrise Orange,Slime Green,None,Third Eye,Sci-Fi Visor,Gold Right and Nose,Neon Red,Coffee Brown
21,Wolf #1839,Hybrid,Color Burst,Base,Burgundy,Mint,None,Halo,Sci-Fi Visor,None,Neon Pink,Chaos
22,Wolf #1069,Mech,Chrome,None,Royal Purple,None,Eye of the Observer,None,None,Silver Left,Neon Mint,Sunrise Orange
23,Wolf #880,Hybrid,Zebra,Thunder,Avocado Green,Ocean Blue,None,ETH Orb,Sci-Fi Visor,Gold Right,Neon Violet,Candy
24,Wolf #1802,Hybrid,Chrome,Moon and Stars,Lemon Yellow,Electric Blue,None,Unicorn Horn,Eye Patch,Silver Right,Neon Orange,Lemon Lime
25,Wolf #476,Mech,Chrome,None,Burgundy,None,None,None,Star Trek Visor,None,Neon Pink,Lemon Lime
26,Wolf #1224,Hybrid,Silver,Giraffe,Blood Red,Royal Purple,None,Third Eye,Deal with it Shades,Silver Right,Neon Red,Lemon Yellow
27,Wolf #2326,Mech,Lava,None,Forest Green,None,Eye of the Observer,None,None,None,Neon Pink,Bubblegum Pink
28,Wolf #1051,Mech,Chrome,None,Forest Green,None,None,Third Eye,None,Silver Left,Neon Yellow,Lemon Lime
